ID;DATA;USER;VALOR;DESCRICAO;FORMA_PGTO;NATUREZA;CONTA_BANCOS
54;15/01/2023;email@email.com;26,67;Mercado;Crédito;Pagar;1
55;13/01/2023;email@email.com;75;Alimentação;Crédito;Pagar;1
56;07/01/2023;email@email.com;14,9;Alimentação;Crédito;Pagar;1
57;01/01/2023;email@email.com;155,48;Outras Despesas;Crédito;Pagar;1
58;14/02/2023;email@email.com;49;Alimentação;Crédito;Pagar;1
59;16/02/2023;email@email.com;6,5;Outras Despesas;Crédito;Pagar;1
60;02/02/2023;email@email.com;15,68;Alimentação;Crédito;Pagar;1
61;28/02/2023;email@email.com;912,37;Mercado;Crédito;Pagar;1
62;01/03/2023;email@email.com;28;Alimentação;Crédito;Pagar;1
63;01/03/2023;email@email.com;4;Outras Despesas;Crédito;Pagar;1
64;04/03/2023;email@email.com;100;Transporte;Crédito;Pagar;1
65;01/03/2023;email@email.com;380;Outras Despesas;Crédito;Pagar;77
66;05/01/2023;email@email.com;58,04;Outras Despesas;Crédito;Pagar;77
67;01/05/2023;email@email.com;380;Outras Despesas;Crédito;Pagar;77
68;01/06/2023;email@email.com;380;Outras Despesas;Crédito;Pagar;77
69;01/07/2023;email@email.com;380;Outras Despesas;Crédito;Pagar;77
71;01/03/2023;email@email.com;69,98;Para Casa;Crédito;Pagar;77
72;01/03/2023;email@email.com;58,03;Outras Despesas;Crédito;Pagar;77
105;31/01/2023;email@email.com;262,22;Pgto Fatura;Débito;Pagar;323
73;01/02/2023;email@email.com;380;Outras Despesas;Crédito;Pagar;77
74;01/01/2023;email@email.com;380;Outras Despesas;Crédito;Pagar;77
75;04/01/2023;email@email.com;21;Alimentação;Crédito;Pagar;77
76;05/01/2023;email@email.com;60;Petshop;Crédito;Pagar;77
77;05/01/2023;email@email.com;100;Transporte;Crédito;Pagar;77
78;06/01/2023;email@email.com;27;Alimentação;Crédito;Pagar;77
79;17/01/2023;email@email.com;13,7;Alimentação;Crédito;Pagar;77
80;28/01/2023;email@email.com;493,25;Mercado;Crédito;Pagar;77
81;01/01/2023;email@email.com;25;Alimentação;Crédito;Pagar;323
82;01/01/2023;email@email.com;9,9;Outras Despesas;Crédito;Pagar;323
83;03/01/2023;email@email.com;157,21;Mercado;Crédito;Pagar;323
84;01/02/2023;email@email.com;9,9;Outras Despesas;Crédito;Pagar;323
85;02/02/2023;email@email.com;50;Transporte;Crédito;Pagar;323
86;04/02/2023;email@email.com;230,91;Mercado;Crédito;Pagar;323
87;15/02/2023;email@email.com;45,8;Petshop;Crédito;Pagar;323
88;01/03/2023;email@email.com;9,9;Outras Despesas;Crédito;Pagar;323
89;04/03/2023;email@email.com;302,92;Mercado;Crédito;Pagar;323
90;01/04/2023;email@email.com;380;Outras Despesas;Crédito;Pagar;77
91;01/02/2023;email@email.com;58,03;Outras Despesas;Crédito;Pagar;77
92;04/02/2023;email@email.com;37,2;Alimentação;Crédito;Pagar;77
93;07/02/2023;email@email.com;66,32;Mercado;Crédito;Pagar;77
94;10/02/2023;email@email.com;30;Transporte;Crédito;Pagar;77
95;11/02/2023;email@email.com;35;Outras Despesas;Crédito;Pagar;77
96;01/02/2023;email@email.com;69,99;Para Casa;Crédito;Pagar;77
97;17/02/2023;email@email.com;50;Transporte;Crédito;Pagar;77
98;22/02/2023;email@email.com;7;Alimentação;Crédito;Pagar;77
99;26/02/2023;email@email.com;375,06;Mercado;Crédito;Pagar;77
100;26/02/2023;email@email.com;56,9;Petshop;Crédito;Pagar;77
101;26/02/2023;email@email.com;50;Outras Despesas;Crédito;Pagar;77
102;09/01/2023;email@email.com;64,25;Outras Despesas;Crédito;Pagar;323
103;08/03/2023;email@email.com;1215,5;Pgto Fatura;Débito;Pagar;77
104;31/01/2023;email@email.com;5,86;Outras Despesas;Crédito;Pagar;323
109;10/03/2023;email@email.com;79,99;Internet;Débito;Pagar;1
110;10/03/2023;email@email.com;89,75;Água;Débito;Pagar;1
111;11/03/2023;email@email.com;24,99;Alimentação;Pix;Pagar;1
112;11/03/2023;email@email.com;296,35;Mercado;Crédito;Pagar;77
113;16/03/2023;email@email.com;14,7;Mercado;Pix;Pagar;1
114;16/03/2023;email@email.com;5,5;Alimentação;Débito;Pagar;1
115;16/03/2023;email@email.com;22;Alimentação;Crédito;Pagar;1
116;16/03/2023;email@email.com;12,5;Alimentação;Débito;Pagar;1
117;18/03/2023;email@email.com;398,95;Mercado;Crédito;Pagar;1
118;18/03/2023;email@email.com;50;Outras Despesas;Pix;Pagar;1
119;19/03/2023;email@email.com;10;Alimentação;Pix;Pagar;1
120;20/03/2023;email@email.com;39,9;Mercado;Crédito;Pagar;1
121;22/03/2023;email@email.com;5,5;Alimentação;Crédito;Pagar;1
122;22/03/2023;email@email.com;44;Alimentação;Crédito;Pagar;1
123;23/03/2023;email@email.com;25,99;Mercado;Crédito;Pagar;1
124;26/03/2023;email@email.com;252,49;Mercado;Crédito;Pagar;77
125;27/03/2023;email@email.com;35;Transporte;Crédito;Pagar;1
126;30/03/2023;email@email.com;50;Transporte;Crédito;Pagar;77
127;30/03/2023;email@email.com;22;Alimentação;Crédito;Pagar;1
128;01/04/2023;email@email.com;120;Outras Despesas;Crédito;Pagar;1
129;02/04/2023;email@email.com;17,9;Petshop;Débito;Pagar;1
130;02/04/2023;email@email.com;800;Resgate Aplicação;Débito;Receber;77
131;02/04/2023;email@email.com;783,34;Pgto Fatura;Débito;Pagar;1
132;02/04/2023;email@email.com;6,2;Alimentação;Pix;Pagar;1
133;02/04/2023;email@email.com;26,62;Alimentação;Pix;Pagar;77
134;04/04/2023;email@email.com;208,8;Petshop;Crédito;Pagar;1
135;06/04/2023;email@email.com;15;Outras Despesas;Pix;Pagar;1
136;06/04/2023;email@email.com;2599,57;Proventos;Débito;Receber;1
